DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
10/15/2015,8:00,BROOKLYN,11220,40.6374517,-74.0219535,"(40.6374517, -74.0219535)",66 STREET,4 AVENUE,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,Unspecified,,,3315784,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,
10/15/2015,8:00,BRONX,10468,40.8593408,-73.9044748,"(40.8593408, -73.9044748)",EVELYN PLACE,DAVIDSON AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3315731,PASSENGER VEHICLE,UNKNOWN,,,
10/15/2015,8:00,BRONX,10451,40.8133745,-73.9305695,"(40.8133745, -73.9305695)",EAST 138 STREET,WALTON AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3315636,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
10/15/2015,7:57,MANHATTAN,10031,40.8214864,-73.9485395,"(40.8214864, -73.9485395)",CONVENT AVENUE,WEST 140 STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3315609,UNKNOWN,BICYCLE,,,
10/15/2015,7:50,,,,,,ALLERTON AVENUE,BRONX RIVER PARKWAY,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3315711,OTHER,PASSENGER VEHICLE,,,
10/15/2015,7:45,QUEENS,11694,40.5700334,-73.8624583,"(40.5700334, -73.8624583)",ROCKAWAY BEACH BOULEVARD,BEACH 147 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3315917,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
10/15/2015,7:45,QUEENS,11434,40.6675224,-73.7806252,"(40.6675224, -73.7806252)",NORTH CONDUIT AVENUE,ROCKAWAY BOULEVARD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3316090,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
10/15/2015,7:45,QUEENS,11420,40.672203,-73.8087249,"(40.672203, -73.8087249)",SUTTER AVENUE,130 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3315975,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
10/15/2015,7:40,BROOKLYN,11213,40.6692499,-73.9394287,"(40.6692499, -73.9394287)",EASTERN PARKWAY,ALBANY AVENUE,,2,0,0,0,0,0,2,0,Failure to Yield Right-of-Way,Unspecified,,,,3316447,SPORT UTILITY / STATION WAGON,BUS,,,
10/15/2015,7:40,QUEENS,11377,40.7529959,-73.9106765,"(40.7529959, -73.9106765)",NORTHERN BOULEVARD,NEWTOWN ROAD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3316111,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
10/15/2015,7:40,QUEENS,11362,40.7680971,-73.7294449,"(40.7680971, -73.7294449)",LITTLE NECK PARKWAY,BRATTLE AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3316066,PASSENGER VEHICLE,PICK-UP TRUCK,,,
10/15/2015,7:40,QUEENS,11354,40.7653551,-73.8173235,"(40.7653551, -73.8173235)",149 STREET,NORTHERN BOULEVARD,,0,0,0,0,0,0,0,0,Outside Car Distraction,Unspecified,,,,3316024,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
10/15/2015,7:35,BROOKLYN,11214,40.610681,-74.0066846,"(40.610681, -74.0066846)",16 AVENUE,85 STREET,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3316960,PASSENGER VEHICLE,,,,
10/15/2015,7:35,QUEENS,11105,40.7761313,-73.9106996,"(40.7761313, -73.9106996)",31 STREET,DITMARS BOULEVARD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3316119,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
10/15/2015,7:35,BRONX,10453,40.8544707,-73.9100739,"(40.8544707, -73.9100739)",WEST BURNSIDE AVENUE,HARRISON AVENUE,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,,,,3315692,SPORT UTILITY / STATION WAGON,UNKNOWN,,,
10/15/2015,7:30,,,40.7265632,-73.8380134,"(40.7265632, -73.8380134)",,,,5,0,0,0,0,0,5,0,Failure to Keep Right,,,,,3316088,PASSENGER VEHICLE,,,,
10/15/2015,7:30,,,,,,NORTH PORTLAND AVENUE,PARK AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3316512,BUS,SPORT UTILITY / STATION WAGON,,,
